,Sentence_Index,Token,Pos,Explained_Tag,Tag,iob_Tag,Entity_Type
0,0,3/15/22,NUM,cardinal number,CD,B,CARDINAL
1,0,",",PUNCT,"punctuation mark, comma",",",O,
2,0,10:32,NUM,cardinal number,CD,B,TIME
3,0,AM,NOUN,"noun, singular or mass",NN,I,TIME
4,0, ,SPACE,whitespace,_SP,O,
5,0,Is,AUX,"verb, 3rd person singular present",VBZ,O,
6,0,the,DET,determiner,DT,O,
7,0,pandemic,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,O,
8,0,ending,NOUN,"noun, singular or mass",NN,O,
9,0,soon,ADV,adverb,RB,O,
10,0,?,PUNCT,"punctuation mark, sentence closer",.,O,
11,1,"
",SPACE,whitespace,_SP,O,
12,1,Western,PROPN,"noun, proper singular",NNP,B,ORG
13,1,Pacific,PROPN,"noun, proper singular",NNP,I,ORG
14,1,Philippines,PROPN,"noun, proper singular",NNP,I,ORG
15,1, ,SPACE,whitespace,_SP,O,
16,1,©,PROPN,"noun, proper singular",NNP,O,
17,1, ,SPACE,whitespace,_SP,O,
18,1,Opinion,PROPN,"noun, proper singular",NNP,O,
19,1,:,PUNCT,"punctuation mark, colon or ellipsis",:,O,
20,1,Is,AUX,"verb, 3rd person singular present",VBZ,O,
21,1,the,DET,determiner,DT,O,
22,1,pandemic,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,O,
23,1,ending,NOUN,"noun, singular or mass",NN,O,
24,1,soon,ADV,adverb,RB,O,
25,1,?,PUNCT,"punctuation mark, sentence closer",.,O,
26,2,"
",SPACE,whitespace,_SP,O,
27,2,11,NUM,cardinal number,CD,O,
28,2,March,PROPN,"noun, proper singular",NNP,B,DATE
29,2,2022,NUM,cardinal number,CD,I,DATE
30,2, ,SPACE,whitespace,_SP,O,
31,2,Statement,NOUN,"noun, singular or mass",NN,O,
32,2, ,SPACE,whitespace,_SP,O,
33,2,|,NOUN,"noun, singular or mass",NN,O,
34,2, ,SPACE,whitespace,_SP,O,
35,2,By,ADP,"conjunction, subordinating or preposition",IN,O,
36,2,Dr,PROPN,"noun, proper singular",NNP,O,
37,2,Rajendra,PROPN,"noun, proper singular",NNP,B,PERSON
38,2,Yadav,PROPN,"noun, proper singular",NNP,I,PERSON
39,2,and,CCONJ,"conjunction, coordinating",CC,O,
40,2,Dr,PROPN,"noun, proper singular",NNP,O,
41,2,Sangjun,PROPN,"noun, proper singular",NNP,B,PERSON
42,2,Moon,PROPN,"noun, proper singular",NNP,I,PERSON
43,2,",",PUNCT,"punctuation mark, comma",",",O,
44,2,WHO,PRON,"wh-pronoun, personal",WP,O,
45,2,Philippines,PROPN,"noun, proper plural",NNPS,B,GPE
46,2,   ,SPACE,whitespace,_SP,O,
47,2,Manila,PROPN,"noun, proper singular",NNP,B,GPE
48,2,",",PUNCT,"punctuation mark, comma",",",O,
49,2,Philippines,PROPN,"noun, proper singular",NNP,B,GPE
50,2,(,PUNCT,left round bracket,-LRB-,O,
51,2,11,NUM,cardinal number,CD,B,DATE
52,2,March,PROPN,"noun, proper singular",NNP,I,DATE
53,2,2022,NUM,cardinal number,CD,I,DATE
54,2,),PUNCT,right round bracket,-RRB-,O,
55,2,–,PUNCT,"punctuation mark, colon or ellipsis",:,O,
56,2,When,SCONJ,wh-adverb,WRB,O,
57,2,will,AUX,"verb, modal auxiliary",MD,O,
58,2,this,PRON,determiner,DT,O,
59,2,end,VERB,"verb, base form",VB,O,
60,2,?,PUNCT,"punctuation mark, sentence closer",.,O,
61,3,"
",SPACE,whitespace,_SP,O,
62,3,This,DET,determiner,DT,O,
63,3,question,NOUN,"noun, singular or mass",NN,O,
64,3,has,AUX,"verb, 3rd person singular present",VBZ,O,
65,3,been,AUX,"verb, past participle",VBN,O,
66,3,on,ADP,"conjunction, subordinating or preposition",IN,O,
67,3,everyone,PRON,"noun, singular or mass",NN,O,
68,3,’s,PART,possessive ending,POS,O,
69,3,mind,NOUN,"noun, singular or mass",NN,O,
70,3,for,ADP,"conjunction, subordinating or preposition",IN,O,
71,3,many,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,B,DATE
72,3,months,NOUN,"noun, plural",NNS,I,DATE
73,3,.,PUNCT,"punctuation mark, sentence closer",.,O,
74,4,"
",SPACE,whitespace,_SP,O,
75,4,We,PRON,"pronoun, personal",PRP,O,
76,4,are,AUX,"verb, non-3rd person singular present",VBP,O,
77,4,all,ADV,adverb,RB,O,
78,4,tired,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,O,
79,4,of,ADP,"conjunction, subordinating or preposition",IN,O,
80,4,the,DET,determiner,DT,O,
81,4,pandemic,NOUN,"noun, singular or mass",NN,O,
82,4,.,PUNCT,"punctuation mark, sentence closer",.,O,
83,5,"
",SPACE,whitespace,_SP,O,
84,5,So,ADV,adverb,RB,O,
85,5,naturally,ADV,adverb,RB,O,
86,5,",",PUNCT,"punctuation mark, comma",",",O,
87,5,we,PRON,"pronoun, personal",PRP,O,
88,5,all,PRON,determiner,DT,O,
89,5,want,VERB,"verb, non-3rd person singular present",VBP,O,
90,5,it,PRON,"pronoun, personal",PRP,O,
91,5,to,PART,"infinitival ""to""",TO,O,
92,5,be,AUX,"verb, base form",VB,O,
93,5,over,ADV,adverb,RB,O,
94,5,soon,ADV,adverb,RB,O,
95,5,.,PUNCT,"punctuation mark, sentence closer",.,O,
96,6,"
",SPACE,whitespace,_SP,O,
97,6,The,DET,determiner,DT,O,
98,6,government,NOUN,"noun, singular or mass",NN,O,
99,6,has,AUX,"verb, 3rd person singular present",VBZ,O,
100,6,started,VERB,"verb, past participle",VBN,O,
101,6,lifting,VERB,"verb, gerund or present participle",VBG,O,
102,6,restrictions,NOUN,"noun, plural",NNS,O,
103,6,.,PUNCT,"punctuation mark, sentence closer",.,O,
104,7,"
",SPACE,whitespace,_SP,O,
105,7,As,ADP,"conjunction, subordinating or preposition",IN,O,
106,7,a,DET,determiner,DT,O,
107,7,result,NOUN,"noun, singular or mass",NN,O,
108,7,",",PUNCT,"punctuation mark, comma",",",O,
109,7,businesses,NOUN,"noun, plural",NNS,O,
110,7,can,AUX,"verb, modal auxiliary",MD,O,
111,7,operate,VERB,"verb, base form",VB,O,
112,7,at,ADP,"conjunction, subordinating or preposition",IN,O,
113,7,full,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,O,
114,7,capacity,NOUN,"noun, singular or mass",NN,O,
115,7,",",PUNCT,"punctuation mark, comma",",",O,
116,7,and,CCONJ,"conjunction, coordinating",CC,O,
117,7,people,NOUN,"noun, plural",NNS,O,
118,7,can,AUX,"verb, modal auxiliary",MD,O,
119,7,travel,VERB,"verb, base form",VB,O,
120,7,freely,ADV,adverb,RB,O,
121,7,irrespective,ADV,adverb,RB,O,
122,7,of,ADP,"conjunction, subordinating or preposition",IN,O,
123,7,age,NOUN,"noun, singular or mass",NN,O,
124,7,or,CCONJ,"conjunction, coordinating",CC,O,
125,7,comorbidity,NOUN,"noun, singular or mass",NN,O,
126,7,.,PUNCT,"punctuation mark, sentence closer",.,O,
127,8,"
",SPACE,whitespace,_SP,O,
128,9,But,CCONJ,"conjunction, coordinating",CC,O,
129,9,that,PRON,determiner,DT,O,
130,9,should,AUX,"verb, modal auxiliary",MD,O,
131,9,not,PART,adverb,RB,O,
132,9,cause,VERB,"verb, base form",VB,O,
133,9,us,PRON,"pronoun, personal",PRP,O,
134,9,to,PART,"infinitival ""to""",TO,O,
135,9,lower,VERB,"verb, base form",VB,O,
136,9,our,PRON,"pronoun, possessive",PRP$,O,
137,9,guards,NOUN,"noun, plural",NNS,O,
138,9,–,PUNCT,"punctuation mark, colon or ellipsis",:,O,
139,9,and,CCONJ,"conjunction, coordinating",CC,O,
140,9,masks,NOUN,"noun, plural",NNS,O,
141,9,.,PUNCT,"punctuation mark, sentence closer",.,O,
142,10,"
",SPACE,whitespace,_SP,O,
143,10,During,ADP,"conjunction, subordinating or preposition",IN,O,
144,10,the,DET,determiner,DT,O,
145,10,Omicron,PROPN,"noun, proper singular",NNP,B,ORG
