Token_ID,Token
0,3/15/22
1,","
2,10:32
3,AM
4,Is
5,the
6,pandemic
7,ending
8,soon
9,?
10,Western
11,Pacific
12,Philippines
13,©
14,Opinion
15,:
16,Is
17,the
18,pandemic
19,ending
20,soon
21,?
22,11
23,March
24,2022
25,Statement
26,|
27,By
28,Dr
29,Rajendra
30,Yadav
31,and
32,Dr
33,Sangjun
34,Moon
35,","
36,WHO
37,Philippines
38,Manila
39,","
40,Philippines
41,(
42,11
43,March
44,2022
45,)
46,–
47,When
48,will
49,this
50,end
51,?
52,This
53,question
54,has
55,been
56,on
57,everyone
58,’
59,s
60,mind
61,for
62,many
63,months
64,.
65,We
66,are
67,all
68,tired
69,of
70,the
71,pandemic
72,.
73,So
74,naturally
75,","
76,we
77,all
78,want
79,it
80,to
81,be
82,over
83,soon
84,.
85,The
86,government
87,has
88,started
89,lifting
90,restrictions
91,.
92,As
93,a
94,result
95,","
96,businesses
97,can
98,operate
99,at
100,full
101,capacity
102,","
103,and
104,people
105,can
106,travel
107,freely
108,irrespective
109,of
110,age
111,or
112,comorbidity
113,.
114,But
115,that
116,should
117,not
118,cause
119,us
120,to
121,lower
122,our
123,guards
124,–
125,and
126,masks
127,.
128,During
129,the
130,Omicron
131,wave
132,in
133,January
134,2022
135,","
136,we
137,saw
138,a
139,massive
140,surge
141,of
142,COVID-19
143,cases
144,.
145,Fortunately
146,","
147,the
148,risks
149,of
150,hospitalizations
151,and
152,deaths
153,were
154,lower
155,.
156,But
157,that
158,should
159,not
160,cause
161,us
162,to
163,hesitate
164,from
165,getting
166,COVID-19
167,vaccinations
168,","
169,including
170,the
171,booster
172,doses
173,","
174,as
175,required
176,.
177,The
178,pandemic
179,is
180,not
181,over
182,yet
183,.
184,We
185,still
186,need
187,to
188,get
189,at
190,least
191,70
192,%
193,of
194,the
195,total
196,population
197,vaccinated
198,","
199,with
200,a
201,greater
202,focus
203,on
204,vaccinating
205,the
206,2.4
207,million
208,older
209,adults
210,who
211,have
212,not
213,received
214,even
215,a
216,single
217,dose
218,.
219,In
220,addition
221,","
222,we
223,still
224,need
225,to
226,continue
227,masking
228,","
229,physical
230,distancing
231,","
232,ensuring
233,proper
234,ventilation
235,","
236,and
237,hand
238,hygiene
239,.
240,If
241,we
242,continue
243,to
244,do
245,that
246,","
247,we
248,will
249,be
250,ready
251,for
252,the
253,next
254,COVID-19
255,wave
256,.
257,But
258,","
259,if
260,we
261,stop
262,doing
263,that
264,too
265,soon
266,","
267,we
268,will
269,be
270,wasting
271,the
272,lessons
273,we
274,have
275,learned
276,from
277,the
278,two
279,years
280,of
281,living
282,with
283,the
284,pandemic
285,.
286,Using
287,the
288,tools
289,we
290,have
291,and
292,the
293,lessons
294,we
295,learned
296,","
297,the
298,Philippines
299,can
300,transition
301,to
302,sustained
303,management
304,of
305,COVID-19
306,.
307,So
308,let
309,us
310,do
311,that
312,collectively
313,.
314,Sustained
315,management
316,of
317,COVID-19
318,and
319,protecting
320,the
321,most
322,vulnerable
323,https
324,:
325,//www.who.int/philippines/news/detail/11-03-2022-opinion-is-the-pandemic-ending-soon
326,1/3
327,3/15/22
328,","
329,10:32
330,AM
331,Is
332,the
333,pandemic
334,ending
335,soon
336,?
337,The
338,Omicron
339,variant
340,is
341,still
342,around
343,","
344,and
345,it
346,can
347,cause
348,severe
349,illness
350,and
351,even
352,death
353,","
354,especially
355,among
356,more
357,vulnerable
358,and
359,higher
360,risk
361,groups
362,.
363,Also
364,","
365,as
366,Director-General
367,of
368,the
369,World
370,Health
371,Organization
372,","
373,Tedros
374,Ghebreyesus
375,","
376,has
377,said
378,:
379,“
380,It
381,is
382,dangerous
383,to
384,assume
385,that
386,the
387,Omicron
388,will
389,be
390,the
391,last
392,variant
393,or
394,that
395,we
396,are
397,in
398,the
399,endgame.
400,”
401,The
402,COVID-19
403,virus
404,is
405,an
406,unstable
407,virus
408,that
409,changes
410,rapidly
411,and
412,limits
413,our
414,ability
415,to
416,predict
417,what
418,will
419,become
420,of
421,it
422,next
423,.
424,Therefore
425,","
426,countries
427,","
428,communities
429,","
430,and
431,individuals
432,should
433,not
434,“
435,give
436,up
437,”
438,or
439,“
440,neglect
441,”
442,precautions
443,at
444,this
445,crucial
446,juncture
447,of
448,the
449,pandemic
450,.
451,Living
452,with
453,COVID-19
454,is
455,far
456,from
457,passive
458,helplessness
459,.
460,Instead
461,","
462,it
463,is
464,about
465,staying
466,alert
467,and
468,getting
469,ready
470,.
471,It
472,is
473,about
474,adopting
475,a
476,risk-based
477,approach
478,","
479,making
480,intelligent
481,choices
482,","
483,and
484,comprehensively
485,calibrating
486,our
487,tools
488,and
489,measures
490,to
491,keep
492,surges
493,at
494,bay
495,.
496,During
497,the
498,Delta
499,surge
500,","
501,the
502,Philippines
503,used
504,strict
505,border
506,control
507,to
508,delay
509,the
510,importation
511,of
512,the
513,deadly
514,variant
515,.
516,But
517,as
518,we
519,know
520,","
521,severe
522,movement
523,restrictions
524,and
525,border
526,control
527,measures
528,are
529,not
530,sustainable
531,.
532,While
533,these
534,measures
535,did
536,buy
537,some
538,time
539,for
540,health
541,authorities
542,to
543,strengthen
544,the
545,country
546,’
547,s
548,health
549,capacity
550,","
551,the
552,Delta
553,variant
554,caused
555,widespread
556,community
557,transmission
558,of
559,the
560,virus
561,","
562,overwhelmed
563,many
564,health
565,facilities
566,","
567,and
568,brought
569,tragic
570,losses
571,in
572,many
573,families
574,.
575,WHO
576,has
577,been
578,supporting
579,the
580,Philippines
581,with
582,lifesaving
583,vaccines
584,from
585,the
586,COVAX
587,Facility
588,.
589,In
590,addition
591,","
592,the
593,government
594,procured
595,vaccines
596,from
597,other
598,sources
599,.
600,These
601,efforts
602,resulted
603,in
604,accelerated
605,vaccination
606,in
607,most
608,parts
609,of
610,the
611,country
612,.
613,However
614,","
615,large
616,pockets
617,of
618,unvaccinated
619,individuals
620,remain
621,in
622,many
623,provinces
624,and
625,cities
626,.
627,These
628,individuals
629,are
630,at
