Sentence_Index,Token,Pos,Explained_Tag,Tag,iob_Tag,Entity_Type
0,3/18/22,NUM,cardinal number,CD,O,
0,",",PUNCT,"punctuation mark, comma",",",O,
0,12:52,NUM,cardinal number,CD,B,TIME
0,AM,NOUN,"noun, singular or mass",NN,I,TIME
0, ,SPACE,whitespace,_SP,O,
0,UN,PROPN,"noun, proper singular",NNP,B,ORG
0,agencies,NOUN,"noun, plural",NNS,O,
0,launch,VERB,"verb, non-3rd person singular present",VBP,O,
0,joint,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,O,
0,programme,NOUN,"noun, singular or mass",NN,O,
0,to,PART,"infinitival ""to""",TO,O,
0,support,VERB,"verb, base form",VB,O,
0,vulnerable,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,O,
0,women,NOUN,"noun, plural",NNS,O,
0,and,CCONJ,"conjunction, coordinating",CC,O,
0,young,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,O,
0,people,NOUN,"noun, plural",NNS,O,
0,amid,ADP,"conjunction, subordinating or preposition",IN,O,
0,COVID-19,X,email,ADD,O,
0, ,SPACE,whitespace,_SP,O,
0,Western,PROPN,"noun, proper singular",NNP,O,
0,Pacific,PROPN,"noun, proper singular",NNP,O,
0,Philippines,PROPN,"noun, proper singular",NNP,O,
0, ,SPACE,whitespace,_SP,O,
0,UN,PROPN,"noun, proper singular",NNP,B,ORG
0,agencies,NOUN,"noun, plural",NNS,O,
0,launch,VERB,"verb, non-3rd person singular present",VBP,O,
0,joint,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,O,
0,programme,NOUN,"noun, singular or mass",NN,O,
0,to,PART,"infinitival ""to""",TO,O,
0,support,VERB,"verb, base form",VB,O,
0,vulnerable,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,O,
0,women,NOUN,"noun, plural",NNS,O,
0,and,CCONJ,"conjunction, coordinating",CC,O,
0,young,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,O,
0,people,NOUN,"noun, plural",NNS,O,
0,amid,ADP,"conjunction, subordinating or preposition",IN,O,
0,COVID-19,X,email,ADD,O,
0,With,ADP,"conjunction, subordinating or preposition",IN,O,
0,support,NOUN,"noun, singular or mass",NN,O,
0,from,ADP,"conjunction, subordinating or preposition",IN,O,
0,the,DET,determiner,DT,B,ORG
0,Australian,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,I,ORG
0,Government,PROPN,"noun, proper singular",NNP,I,ORG
0,",",PUNCT,"punctuation mark, comma",",",O,
0,WHO,PROPN,"noun, proper singular",NNP,B,ORG
0,",",PUNCT,"punctuation mark, comma",",",O,
0,UNICEF,PROPN,"noun, proper singular",NNP,B,ORG
0,",",PUNCT,"punctuation mark, comma",",",O,
0,and,CCONJ,"conjunction, coordinating",CC,O,
0,UNFPA,AUX,"noun, proper singular",NNP,B,ORG
0,kickstart,VERB,"verb, non-3rd person singular present",VBP,O,
0,two,NUM,cardinal number,CD,B,DATE
0,-,PUNCT,"punctuation mark, hyphen",HYPH,I,DATE
0,year,NOUN,"noun, singular or mass",NN,I,DATE
0,initiative,NOUN,"noun, singular or mass",NN,O,
0,on,ADP,"conjunction, subordinating or preposition",IN,O,
0,mental,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,O,
0,health,NOUN,"noun, singular or mass",NN,O,
0,and,CCONJ,"conjunction, coordinating",CC,O,
0,gender,NOUN,"noun, singular or mass",NN,O,
0,-,PUNCT,"punctuation mark, hyphen",HYPH,O,
0,based,VERB,"verb, past participle",VBN,O,
0,violence,NOUN,"noun, singular or mass",NN,O,
0, ,SPACE,whitespace,_SP,O,
0,5,NUM,cardinal number,CD,O,
0,November,PROPN,"noun, proper singular",NNP,B,DATE
0,2021,NUM,cardinal number,CD,I,DATE
0, ,SPACE,whitespace,_SP,O,
0,Joint,PROPN,"noun, proper singular",NNP,O,
0,News,PROPN,"noun, proper singular",NNP,O,
0,Release,PROPN,"noun, proper singular",NNP,O,
0, ,SPACE,whitespace,_SP,O,
