Sentence_Index,Token,Pos,Explained_Tag,Tag,iob_Tag,Entity_Type
0,3/18/22,NUM,cardinal number,CD,O,
0,",",PUNCT,"punctuation mark, comma",",",O,
0,12:52,NUM,cardinal number,CD,B,TIME
0,AM,NOUN,"noun, singular or mass",NN,I,TIME
0, ,SPACE,whitespace,_SP,O,
0,From,ADP,"conjunction, subordinating or preposition",IN,O,
0,containment,NOUN,"noun, singular or mass",NN,O,
0,to,ADP,"conjunction, subordinating or preposition",IN,O,
0,suppression,NOUN,"noun, singular or mass",NN,O,
0,:,PUNCT,"punctuation mark, colon or ellipsis",:,O,
0,WHO,PRON,"wh-pronoun, personal",WP,O,
0,and,CCONJ,"conjunction, coordinating",CC,O,
0,Lancet,PROPN,"noun, proper singular",NNP,B,ORG
0,COVID-19,PROPN,"noun, proper singular",NNP,I,ORG
0,Commission,PROPN,"noun, proper singular",NNP,I,ORG
0,highlight,NOUN,"noun, singular or mass",NN,O,
0,lessons,NOUN,"noun, plural",NNS,O,
0,from,ADP,"conjunction, subordinating or preposition",IN,O,
0,the,DET,determiner,DT,B,LOC
0,Western,PROPN,"noun, proper singular",NNP,I,LOC
0,Pacific,PROPN,"noun, proper singular",NNP,I,LOC
0,Region,PROPN,"noun, proper singular",NNP,I,LOC
0, ,SPACE,whitespace,_SP,O,
0,Western,PROPN,"noun, proper singular",NNP,O,
0,Pacific,PROPN,"noun, proper singular",NNP,O,
0, ,SPACE,whitespace,_SP,O,
0,From,ADP,"conjunction, subordinating or preposition",IN,O,
0,containment,NOUN,"noun, singular or mass",NN,O,
0,to,ADP,"conjunction, subordinating or preposition",IN,O,
0,suppression,NOUN,"noun, singular or mass",NN,O,
0,:,PUNCT,"punctuation mark, colon or ellipsis",:,O,
0,WHO,PRON,"wh-pronoun, personal",WP,O,
0,and,CCONJ,"conjunction, coordinating",CC,O,
0,Lancet,PROPN,"noun, proper singular",NNP,B,ORG
0,COVID-19,PROPN,"noun, proper singular",NNP,I,ORG
0,Commission,PROPN,"noun, proper singular",NNP,I,ORG
0,highlight,NOUN,"noun, singular or mass",NN,O,
0,lessons,NOUN,"noun, plural",NNS,O,
0,from,ADP,"conjunction, subordinating or preposition",IN,O,
0,the,DET,determiner,DT,B,LOC
0,Western,PROPN,"noun, proper singular",NNP,I,LOC
0,Pacific,PROPN,"noun, proper singular",NNP,I,LOC
0,Region,PROPN,"noun, proper singular",NNP,I,LOC
0, ,SPACE,whitespace,_SP,O,
0,17,NUM,cardinal number,CD,O,
0,December,PROPN,"noun, proper singular",NNP,B,DATE
0,2020,NUM,cardinal number,CD,I,DATE
1, ,SPACE,whitespace,_SP,O,
1,News,NOUN,"noun, singular or mass",NN,O,
1,release,NOUN,"noun, singular or mass",NN,O,
1, ,SPACE,whitespace,_SP,O,
1,|,NOUN,"noun, singular or mass",NN,O,
1, ,SPACE,whitespace,_SP,O,
1,Professor,PROPN,"noun, proper singular",NNP,O,
1,Jeffrey,PROPN,"noun, proper singular",NNP,B,PERSON
1,D.,PROPN,"noun, proper singular",NNP,I,PERSON
1,Sachs,PROPN,"noun, proper singular",NNP,I,PERSON
1,",",PUNCT,"punctuation mark, comma",",",O,
1,Dr,PROPN,"noun, proper singular",NNP,O,
1,Takeshi,PROPN,"noun, proper singular",NNP,B,PERSON
1,Kasai,PROPN,"noun, proper singular",NNP,I,PERSON
1,and,CCONJ,"conjunction, coordinating",CC,O,
1,expert,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,O,
1,panellists,NOUN,"noun, plural",NNS,O,
1,across,ADP,"conjunction, subordinating or preposition",IN,O,
1,Asia,PROPN,"noun, proper singular",NNP,B,LOC
1,and,CCONJ,"conjunction, coordinating",CC,O,
1,the,DET,determiner,DT,O,
1,Pacific,PROPN,"noun, proper singular",NNP,B,LOC
1,explored,VERB,"verb, past tense",VBD,O,
1,lessons,NOUN,"noun, plural",NNS,O,
1,from,ADP,"conjunction, subordinating or preposition",IN,O,
1,coronavirus,PROPN,"noun, proper singular",NNP,O,
