Docu_ID,File_Name
30000,3M Moderna vaccines from US Government arrive from COVAX Facility.pdf
A0001,Asia Pacific health and finance ministers stress importance of universal health coverage in COVID-19 era and beyond.pdf
B0002,Breastfeeding must continue amidst COVID-19.pdf
C0003,Community Innovation to Support Surveillance and Contact Tracing.pdf
D0004,"DOH, RITM, WHO establish subnational laboratories to expand the country's capacity in detecting vaccine-preventable diseases.pdf"
D0005,"DOH, WHO urge devotees to safely observe Traslacion at home.pdf"
E0006,EU and WHO provide lifesaving medical-grade oxygen for preparedness against new COVID-19 variants.pdf
F0007,From containment to suppression_ WHO and Lancet COVID-19 Commission highlight lessons from the Western Pacific Region.pdf
G0008,Gender equality makes everyone healthier_ WHO.pdf
G0009,"Germany supports the Philippines with first 844,800 COVID-19 vaccine doses via COVAX.pdf"
H00010,Health leaders endorse action plan to end TB in the Region.pdf
H00011,"Health ministers endorse WHO five-year plan to make the Western Pacific the healthiest, safest region.pdf"
H00012,Hong Kong SAR (China) eliminates rubella.pdf
I00013,Investing in mental health benefits people and the economy.pdf
M00014,Minimizing the impact of the Delta variant in the Philippines.pdf
