Sentence_Index,Token,Pos,Explained_Tag,Tag,iob_Tag,Entity_Type
0,3/18/22,NUM,cardinal number,CD,O,
0,",",PUNCT,"punctuation mark, comma",",",O,
0,12:52,NUM,cardinal number,CD,B,TIME
0,AM,NOUN,"noun, singular or mass",NN,I,TIME
0, ,SPACE,whitespace,_SP,O,
0,Investing,VERB,"verb, gerund or present participle",VBG,O,
0,in,ADP,"conjunction, subordinating or preposition",IN,O,
0,mental,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,O,
0,health,NOUN,"noun, singular or mass",NN,O,
0,benefits,NOUN,"noun, plural",NNS,O,
0,people,NOUN,"noun, plural",NNS,O,
0,and,CCONJ,"conjunction, coordinating",CC,O,
0,the,DET,determiner,DT,O,
0,economy,NOUN,"noun, singular or mass",NN,O,
0, ,SPACE,whitespace,_SP,O,
0,Western,PROPN,"noun, proper singular",NNP,O,
0,Pacific,PROPN,"noun, proper singular",NNP,O,
0,Philippines,PROPN,"noun, proper singular",NNP,O,
0, ,SPACE,whitespace,_SP,O,
0,Investing,VERB,"verb, gerund or present participle",VBG,O,
0,in,ADP,"conjunction, subordinating or preposition",IN,O,
0,mental,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,O,
0,health,NOUN,"noun, singular or mass",NN,O,
0,benefits,NOUN,"noun, plural",NNS,O,
0,people,NOUN,"noun, plural",NNS,O,
0,and,CCONJ,"conjunction, coordinating",CC,O,
0,the,DET,determiner,DT,O,
0,economy,NOUN,"noun, singular or mass",NN,O,
0,DOH,PROPN,"noun, proper singular",NNP,B,ORG
0,",",PUNCT,"punctuation mark, comma",",",O,
0,WHO,PROPN,"noun, proper singular",NNP,B,ORG
0,",",PUNCT,"punctuation mark, comma",",",O,
0,UNDP,PROPN,"noun, proper singular",NNP,B,ORG
0,",",PUNCT,"punctuation mark, comma",",",O,
0,and,CCONJ,"conjunction, coordinating",CC,O,
0,UN,PROPN,"noun, proper singular",NNP,B,ORG
0,NCD,PROPN,"noun, proper singular",NNP,O,
0,Task,PROPN,"noun, proper singular",NNP,O,
0,Force,PROPN,"noun, proper singular",NNP,O,
0,share,VERB,"verb, non-3rd person singular present",VBP,O,
0,important,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,O,
0,findings,NOUN,"noun, plural",NNS,O,
0,from,ADP,"conjunction, subordinating or preposition",IN,O,
0,Investment,PROPN,"noun, proper singular",NNP,B,ORG
0,Case,PROPN,"noun, proper singular",NNP,I,ORG
0,Report,PROPN,"noun, proper singular",NNP,I,ORG
0,on,ADP,"conjunction, subordinating or preposition",IN,I,ORG
0,Mental,PROPN,"noun, proper singular",NNP,I,ORG
0,Health,PROPN,"noun, proper singular",NNP,I,ORG
0,in,ADP,"conjunction, subordinating or preposition",IN,O,
0,the,DET,determiner,DT,O,
0,Philippines,PROPN,"noun, proper singular",NNP,B,GPE
0, ,SPACE,whitespace,_SP,O,
0,22,NUM,cardinal number,CD,O,
0,November,PROPN,"noun, proper singular",NNP,B,DATE
0,2021,NUM,cardinal number,CD,I,DATE
0,  ,SPACE,whitespace,_SP,O,
0,|,NOUN,"noun, singular or mass",NN,O,
0, ,SPACE,whitespace,_SP,O,
0,Joint,PROPN,"noun, proper singular",NNP,O,
0,News,PROPN,"noun, proper singular",NNP,O,
0,Release,PROPN,"noun, proper singular",NNP,O,
0, ,SPACE,whitespace,_SP,O,
0,|,NOUN,"noun, singular or mass",NN,O,
0,   ,SPACE,whitespace,_SP,O,
0,Manila,PROPN,"noun, proper singular",NNP,B,GPE
0, ,SPACE,whitespace,_SP,O,
0,Mental,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,O,
0,health,NOUN,"noun, singular or mass",NN,O,
0,conditions,NOUN,"noun, plural",NNS,O,
0,cost,VERB,"verb, non-3rd person singular present",VBP,O,
0,the,DET,determiner,DT,O,
0,Philippine,ADJ,"adjective (English), other noun-modifier (Chinese)",JJ,B,NORP
0,economy,NOUN,"noun, singular or mass",NN,O,
0,a,DET,determiner,DT,O,
