Word,Label
9:27 PM,TIME
Asia,LOC
Pacific Joint,ORG
UNFPA,ORG
UN Women,ORG
November 2016,DATE
Bangkok,GPE
Thailand,GPE
1/4,CARDINAL
3/27/22,PRODUCT
9:27 PM,TIME
the United Nations,ORG
Asia,LOC
Pacific,LOC
One hundred,CARDINAL
10,CARDINAL
Bangkok,GPE
this week,DATE
three-day,DATE
the United Nations Population Fund,ORG
UNFPA,ORG
UN Women,ORG
the World Health Organization,ORG
VAWG,ORG
one,CARDINAL
three,CARDINAL
Asia-Pacific,LOC
two-thirds,CARDINAL
lifetime,DATE
VAWG,ORG
the Sustainable Development Goals,ORG
Sustainable Development Agenda,WORK_OF_ART
Yoriko Yasukawa,PERSON
UNFPA Regional,ORG
Asia-Pacific,LOC
193,CARDINAL
the World Health Assembly,ORG
May 2016,DATE
Avni Amin,PERSON
WHO,ORG
2/4,CARDINAL
3/27/22,PRODUCT
9:27 PM,TIME
Joint UN Programme,ORG
Essential Services for Women,ORG
this year,DATE
UNFPA,ORG
UN Women,ORG
the United Nations Office on Drugs and Crime (UNODC,ORG
the United Nations Development Programme,ORG
Miwa Kato,PERSON
Regional,ORG
UN,ORG
up to 10,CARDINAL
2016 to 2018,DATE
Asia-Pacific,LOC
Cambodia,GPE
Kiribati,GPE
Solomon Islands,GPE
The Essential Services for Women,ORG
first,ORDINAL
social welfare,ORG
justice-,PERSON
Melissa Alvarado,PERSON
UN,ORG
the Western Pacific Region,LOC
WHO,ORG
Britta Baer,PERSON
WHO Regional Office,ORG
week,DATE
Bangkok,GPE
10,CARDINAL
Cambodia,GPE
China,GPE
Fiji,GPE
Kiribati,GPE
Papua New Guinea,GPE
Philippines,GPE
Solomon Islands,GPE
Viet Nam,GPE
Sujata Tuladhar,PERSON
Technical Specialist,ORG
UNFPA Asia-Pacific,ORG
3/4,CARDINAL
3/27/22,PRODUCT
9:27 PM,TIME
UN,ORG
https://www.who.int/westernpacific/news/item/24-11-2016-partnership-protection-response-and-empowerment-rolling-out-essential-services-to-end-gen,ORG
4/4,CARDINAL
